n,wMAPE_MA,wMAPE_Lin,wMAPE_Quad,AvgError_MA,AvgError_Lin,AvgError_Quad
2,0.010690475538479089,0.01741701811910176,nan,0.5268256669952037,0.8583090765828216,nan
3,0.011917579100734984,0.014946303435158811,0.03260721984171944,0.587301824782681,0.7365582562555073,1.606893443060997
4,0.013284818180457523,0.013978155052676487,0.024840778565592324,0.6546849076848431,0.6888530219952688,1.2241705231583597
5,0.0147322762008877,0.014211313993465792,0.021012090459312117,0.7260223280529267,0.7003487532772135,1.0354982912694235
6,0.01617568459131947,0.014488796495129602,0.019813769215440154,0.7971612731130818,0.714028973223923,0.9764513769899515
7,0.01763399044759064,0.014768544635227518,0.019002628807137135,0.8690354976909981,0.7278210553301098,0.9364845144908235
8,0.019076715663671976,0.015383453759048819,0.01841416904311515,0.9401429986039898,0.7581308334672737,0.9074912268028568
9,0.02053164348024223,0.016025362790278285,0.018247488607600174,1.0118530415225833,0.7897717538515665,0.8992839207205662
10,0.02199637113482701,0.016657976615150383,0.01835973603316217,1.0840471989970675,0.8209550920888619,0.9048229046091552
11,0.02343917795501388,0.017407790924115606,0.01853646801253865,1.1551622064081533,0.8579149922061072,0.9135400281304606
12,0.02488248509334683,0.018145747554881814,0.018842633186337998,1.2263029549130897,0.8942910550203859,0.9286362141106262
13,0.02630837681036626,0.01886957561860482,0.01915872639854811,1.2965865031001662,0.9299713639752336,0.9442219200371981
14,0.027710473250499034,0.01966708798256642,0.019493740033025016,1.3656983189764376,0.9692836623231941,0.9607402859201034
15,0.02909784983186298,0.02045025721316398,0.019858129027519936,1.4340858123422693,1.007889720292476,0.9787067175954697
16,0.030470307101630935,0.021240764638477957,0.020305687329872035,1.501739065928575,1.0468580425331342,1.0007724510977254
17,0.03182518563984673,0.022052000512133862,0.020843623180026076,1.5685269309369572,1.0868485442865776,1.0272928072173955
18,0.0331537649280949,0.022845495990971472,0.02136282116046724,1.6340196663694675,1.1259653260549747,1.0528900708877373
19,0.034466991638012374,0.02361356506477291,0.02188366908962245,1.6987567648069415,1.1638295507853875,1.078569063851625
20,0.03575146107895286,0.024421332883734295,0.022386953587586016,1.762077523113929,1.2036509966370197,1.1033828139377229
21,0.03702925313449225,0.02522067396506014,0.022889281485482353,1.8250702180230183,1.243057772861865,1.1281498387065088
22,0.03829088726064027,0.02600631754029391,0.023392364250800095,1.8872675548328885,1.2817900765890227,1.152954481855215
23,0.039540825584125014,0.026792998874269232,0.023960002015671274,1.9488893970994732,1.3205741319555317,1.1809412978360045
24,0.040769241641414676,0.02756930731695223,0.02453848300433968,2.0094513273511163,1.3588474779458102,1.2094629494938625
25,0.041985440915697794,0.028325320935871947,0.025150470514622585,2.0694121913970083,1.3961212075305518,1.2396366256301852
26,0.04318569525552564,0.029098445021944135,0.025751488990510402,2.1285880762633513,1.4342388780597395,1.2692701156458526
27,0.04436615313339596,0.02985684567954681,0.026343597671400848,2.186789010374832,1.4716313542032908,1.2984648389132376
28,0.04553062566477426,0.030622135833708517,0.02690185141367361,2.2442028941618553,1.509363968977805,1.3259912843145316
29,0.04668149097735181,0.03140011830757555,0.027475363234632524,2.3009471780074406,1.5477229217886121,1.3542703580339486
30,0.04781580688809052,0.0321764539590843,0.028023929677356903,2.356876174565991,1.5860010037198453,1.3813200377201356
31,0.0489368428997636,0.03294691714752816,0.02859625295935723,2.412151461161069,1.6239902214563868,1.409541140627581
